Copyright © 2000-2011 The Nielsen Company. All Rights Reserved. Privacy Notice Terms and Conditions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLIENT,CLIENT NAME,PRODUCT,RELEASE NAME,ISCI/AD-ID,DURATION,CNTRY,RANK,DMA,DMA CODE,STATION,STATION NAME,AFFILIATION,DATE AIRED,DAY OF WEEK,DAYPART,AIR START TIME,AIR END TIME,PROGRAM NAME,ENCODE DATE,ENCODE TIME,REL TYPE,IDENTIFIER 1,IDENTIFIER 2,IDENTIFIER 3,SID,DISCID,AUD SOURCE,HH IMP,HH RATING,P2+ IMP,P2+ RATING,WORKING WOM IMP,WORKING WOM RATING,C 2-11 IMP,C 2-11 RATING,C 6-11 IMP,C 6-11 RATING,TEEN IMP,TEEN RATING,M TEEN IMP,M TEEN RATING,F TEEN IMP,F TEEN RATING,W 18+ IMP,W 18+ RATING,W 18-34 IMP,W 18-34 RATING,W 18-49 IMP,W 18-49 RATING,W 25-54 IMP,W 25-54 RATING,W 35+ IMP,W 35+ RATING,W 55+ IMP,W 55+ RATING,M 18+ IMP,M 18+ RATING,M 18-34 IMP,M 18-34 RATING,M 18-49 IMP,M 18-49 RATING,M 25-54 IMP,M 25-54 RATING,M 35+ IMP,M 35+ RATING,M 55+ IMP,M 55+ RATING,A 18+ IMP,A 18+ RATING,A 18-34 IMP,A 18-34 RATING,A 18-49 IMP,A 18-49 RATING,A 25-54 IMP,A 25-54 RATING,A 35+ IMP,A 35+ RATING,A 55+ IMP,A 55+ RATING,$$$
C786,CADENT                   ,Chick-Fil-A/Lowes        ,1000,18QC29Y550H              ,60,USA,15,MINNEAPOLIS-ST. PAUL     ,613,,,NBC  ,4/5/2018,TH,EM,6:27:59,6:28:53,KARE 11 NEWS SUNRISE               ,7/6/1978,3:09:24,CML  ,1234,                         ,                         ,1329,13683,               ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,
C786,CADENT                   ,Chick-Fil-A/Lowes        ,1000,18QC29Y550H              ,60,USA,20,SACRAMNTO-STKTON-MODESTO ,862,,KXTV 10.1                ,ABC  ,4/5/2018,TH,EM,8:57:20,8:58:16,GOOD MORNING AMERICA               ,7/6/1978,3:09:24,CML  ,1234,                         ,                         ,1329,12907,               ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,
C786,CADENT                   ,Chick-Fil-A/Lowes        ,1000,18QC29Y550H              ,60,USA,21,ST. LOUIS                ,609,,KTVI 2.1                 ,FOX  ,4/5/2018,TH,EM,8:39:30,8:40:26,FOX 2 NEWS IN THE MORNING          ,7/6/1978,3:09:24,CML  ,1234,                         ,                         ,1329,12674,               ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,
C786,CADENT                   ,Chick-Fil-A/Lowes        ,1000,18QC29Y550H              ,60,USA,21,ST. LOUIS                ,609,,KTVI 2.1                 ,FOX  ,4/6/2018,FR,EM,4:58:49,4:59:45,FOX 2 NEWS AT 4:00AM               ,7/6/1978,3:09:24,CML  ,1234,                         ,                         ,1329,12674,               ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,
C786,CADENT                   ,Chick-Fil-A/Lowes        ,1000,18QC29Y550H              ,60,USA,24,PITTSBURGH               ,508,,WPXI 11.1                ,NBC  ,4/6/2018,FR,EM,5:43:04,5:43:57,CHANNEL 11 NEWS AT 5AM             ,7/6/1978,3:09:24,CML  ,1234,                         ,                         ,1329,12897,               ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,
C786,CADENT                   ,Chick-Fil-A/Lowes        ,1000,18QC29Y550H              ,60,USA,25,RALEIGH-DURHAM (FAYETVLLE,560,,WNCN 17.1                ,CBS  ,4/5/2018,TH,EM,6:58:25,6:59:19,CBS 17 NEWS AT 6:00AM              ,7/6/1978,3:09:24,CML  ,1234,                         ,                         ,1329,13468,               ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,
C786,CADENT                   ,Chick-Fil-A/Lowes        ,1000,18QC29Y550H              ,60,USA,25,RALEIGH-DURHAM (FAYETVLLE,560,,WNCN 17.1                ,CBS  ,4/5/2018,TH,EM,8:29:06,8:30:01,CBS THIS MORNING                   ,7/6/1978,3:09:24,CML  ,1234,                         ,                         ,1329,13468,               ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,
C786,CADENT                   ,Chick-Fil-A/Lowes        ,1000,18QC29Y550H              ,60,USA,25,RALEIGH-DURHAM (FAYETVLLE,560,,WNCN 17.1                ,CBS  ,4/6/2018,FR,EM,5:13:11,5:14:05,CBS 17 NEWS AT 5:00AM              ,7/6/1978,3:09:24,CML  ,1234,                         ,                         ,1329,13468,               ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,
C786,CADENT                   ,Chick-Fil-A/Lowes        ,1000,18QC29Y550H              ,60,USA,44,BIRMINGHAM (ANN AND TUSC),630,,WIAT 42.1                ,CBS  ,4/5/2018,TH,EM,5:24:34,5:25:28,CBS42 MORNING NEWS WITH ART FRANKLI,7/6/1978,3:09:24,CML  ,1234,                         ,                         ,1329,15965,               ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,
C786,CADENT                   ,Chick-Fil-A/Lowes        ,1000,18QC29Y550H              ,60,USA,46,ALBUQUERQUE-SANTA FE     ,790,,KOB 4.1                  ,NBC  ,4/5/2018,TH,EM,6:28:15,6:29:11,EYEWITNESS NEWS TODAY              ,7/6/1978,3:09:24,CML  ,1234,                         ,                         ,1329,14062,               ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,
C786,CADENT                   ,Chick-Fil-A/Lowes        ,1000,18QC29Y550H              ,60,USA,46,ALBUQUERQUE-SANTA FE     ,790,,KOBF 12.1                ,NBC  ,4/5/2018,TH,EM,6:28:16,6:29:11,EYEWITNESS NEWS TODAY              ,7/6/1978,3:09:24,CML  ,1234,                         ,                         ,1329,17101,               ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,
C786,CADENT                   ,Chick-Fil-A/Lowes        ,1000,18QC29Y550H              ,60,USA,46,ALBUQUERQUE-SANTA FE     ,790,,KOBR 8.1                 ,NBC  ,4/5/2018,TH,EM,6:28:16,6:29:11,EYEWITNESS NEWS TODAY              ,7/6/1978,3:09:24,CML  ,1234,                         ,                         ,1329,14060,               ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,
C786,CADENT                   ,Chick-Fil-A/Lowes        ,1000,18QC29Y550H              ,60,USA,49,LOUISVILLE               ,529,,WLKY 32.1                ,CBS  ,4/6/2018,FR,EM,5:19:12,5:20:06,WLKY NEWS AT 5:00AM                ,7/6/1978,3:09:24,CML  ,1234,                         ,                         ,1329,15366,               ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,
C786,CADENT                   ,Chick-Fil-A/Lowes        ,1000,18QC29Y550H              ,60,USA,51,NEW ORLEANS              ,622,,WVUE-DT 8.1              ,FOX  ,4/5/2018,TH,EM,5:39:04,5:39:58,FOX 8 MORNING EDITION AT 5AM       ,7/6/1978,3:09:24,CML  ,1234,                         ,                         ,1329,17555,               ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,
C786,CADENT                   ,Chick-Fil-A/Lowes        ,1000,18QC29Y550H              ,60,USA,52,PROVIDENCE-NEW BEDFORD   ,521,,WLNE-TV 6.1              ,ABC  ,4/6/2018,FR,EM,5:29:12,5:30:08,ABC6 NEWS AT 5AM                   ,7/6/1978,3:09:24,CML  ,1234,                         ,                         ,1329,16495,               ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,
C786,CADENT                   ,Chick-Fil-A/Lowes        ,1000,18QC29Y550H              ,60,USA,63,LEXINGTON                ,541,,WYMT-TV 57.1             ,CBS  ,4/6/2018,FR,EM,5:09:42,5:10:37,57 MOUNTAIN NEWS THIS MORNING 5:00A,7/6/1978,3:09:24,CML  ,1234,                         ,                         ,1329,17328,               ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,
C786,CADENT                   ,Chick-Fil-A/Lowes        ,1000,18QC29Y550H              ,60,USA,64,DAYTON                   ,542,,WBDT 26.1                ,CW   ,4/5/2018,TH,EM,6:57:46,6:58:40,2NEWS TODAY                        ,7/6/1978,3:09:24,CML  ,1234,                         ,                         ,1329,15387,               ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,
C786,CADENT                   ,Chick-Fil-A/Lowes        ,1000,18QC29Y550H              ,60,USA,64,DAYTON                   ,542,,WDTN 2.1                 ,NBC  ,4/5/2018,TH,EM,6:57:47,6:58:40,2NEWS TODAY                        ,7/6/1978,3:09:24,CML  ,1234,                         ,                         ,1329,15770,               ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,
